YEAR,MONTH,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2020,1,13455,BAREFOOT CEL CAB - 187ML,BEER,15.363399593195266,15.257194896449704,18.256636464497042
2020,1,309471,FOGO DE CHAO GOLD LABEL CACHACA - 1L,BEER,0.45680851063829786,0.3516666666666667,4.8149999999999995
2020,1,156736,JINRO 24 SOJU - 750ML,BEER,9.943702127659574,10.048,9.083489361702128
2020,1,104450,BESO DE RECHENNA CAVA - 750ML,LIQUOR,0.1997639344262295,0.18665245901639343,3.377249180327869
2020,1,312061,ELK RUN VIN DE JUS GLACE - 375ML,WINE,1.1670689655172413,0.9072844827586207,0.9080603448275861
2020,1,238204,CONFUCIUS WISDOM BAIJIU (FROSTED BOTTLE) - 750ML,LIQUOR,1.463090909090909,1.2074545454545453,0.0
2019,1,21920,TRIVENTO SEL RES MALBEC  - 750ML,WINE,24.33484949832776,24.756989966555185,32.30117056856187
2020,1,41919,NICKEL & NICKEL SUSCOL RANCH NAPA MERLOT 15 - 750ML,WINE,0.42925925925925923,0.48148148148148145,0.14814814814814814
2018,1,311178,ABARBANEL RIESLING - 750ML,WINE,0.02666666666666667,0.16666666666666666,0.6666666666666666
2020,1,23680,FERRARI CARANO SONOMA CHARD - 750ML,WINE,4.169915254237289,3.775508474576271,2.9237288135593222
2020,1,166606,1000 STORIES PROSPECTORS PROOF CAB - 750ML,WINE,17.258244084682442,17.13200498132005,23.400622665006228
2020,1,336731,TITO'S HANDMADE VODKA - 200ML,LIQUOR,302.33141843971634,306.39517730496453,49.77723404255319
2020,1,313773,FILIBUSTER DUAL CASK GIN - 750ML,LIQUOR,3.299,3.8888333333333334,0.26666666666666666
2019,10,353852,DRACULA SPARKLING ROSE - 750ML,WINE,0.0,0.0,6.0
2020,6,47502,FIORE PEACH FLORET - 750ML,WINE,0.08,0.0,0.5
2020,1,166439,APOLLONI EST P/NOIR - 750ML,KEGS,0.1219017094017094,0.11094017094017095,1.5869017094017093
2020,1,335164,MANGRIA WH PEACH PEAR WINE COCKTAIL - 750ML,WINE,0.13523809523809524,0.0,0.0
2020,1,22917,FLYING DOG FAMILY DRAMA IMPERIAL PILSNER 4/6 NR 12.0Z,BEER,21.928910149750415,21.631763727121466,106.73252079866889
2020,1,237188,FAR NIENTE DOLCE  - 375ML,WINE,0.5104301075268817,0.5483870967741935,0.551989247311828
2020,1,310314,SEBASTIANI SONOMA CAB - 750ML,WINE,9.133783783783784,8.517297297297297,4.45045045045045
2020,1,233666,FARM TO TABLE CHARD - 750ML,WINE,0.027674418604651165,0.0,1.3255813953488371
2020,1,16578,COPPOLA DIRECTORS CUT CAB - 750ML,WINE,9.171425260718424,9.400243337195828,4.865330243337196
2019,1,327628,BUCK 8YR BOURBON - 750ML,LIQUOR,1.3884615384615384,0.5257692307692308,0.0
2019,1,22213,ABSENTE LIQUEUR - GIFT BOX - 750ML,BEER,2.319074074074074,2.2222222222222223,6.591851851851851
2020,1,345311,BOLLA P/GRIG - 750ML,WINE,5.186333333333334,5.013875,5.849291666666667
2020,1,234942,EOLA HILLS P/NOIR 13 - 750ML,BEER,0.004365256124721603,0.0022271714922048997,1.899599109131403
2018,2,331454,COUP DE GRACE RED BLEND - 750ML,WINE,0.0,0.0,0.5
2020,1,233894,GLORIA FERRER BLANC DE NOIR - 750ML,WINE,12.818372093023255,12.265581395348837,10.65891472868217
2020,1,236742,R BARBIER MED WHITE - 750ML,WINE,10.918531645569619,10.265822784810126,7.9869367088607595
2019,1,336380,SINGANI LOS PARRALES - 750ML,LIQUOR,1.529,0.2,0.0
2020,1,10738,THE WINERY AT OLNEY CAB - 750ML,WINE,0.7363706563706564,0.76,0.10038610038610038
2020,1,82189,CH LAMOUROUX BORDEAUX ROSE - 750ML,WINE,3.4706329113924053,3.0858227848101265,0.3670886075949367
2018,1,2658,SARANAC TRAIL MIX 4/6 NR - 12OZ,BEER,6.420454545454546,5.7272727272727275,9.272727272727273
2017,7,327876,HILLSIDE VNYDS RIES - 750ML,WINE,0.08,0.0,0.0
2020,1,23805,SHINER RUBY REDBIRD  4/6NR - 12OZ,BEER,10.224,10.301428571428572,46.515257142857145
2017,6,86025,GATOR RONS DIVINE BL/MARY - 24OZ,NON-ALCOHOL,0.17,0.0,0.0
2020,1,307963,TELIANI VALLEY SAPERAVI - 750ML,WINE,0.3428888888888889,0.28888888888888886,1.0888888888888888
2020,1,40406,GARY FARRELL R/R CHARD - 750ML,WINE,0.9027450980392157,0.7223529411764706,0.49019607843137253
2020,9,13343,PRESS SELTZER VARIETY 2/12 CANS,BEER,0.0,0.0,25.0
2020,1,22647,HARAR BEER 4/6NR - 11.2OZ,BEER,2.030486725663717,1.962345132743363,9.684778761061947
2020,1,300928,GOOSE RIDGE G3 CHARDONNAY 750ML,WINE,0.07161290322580645,0.018838709677419355,4.161290322580645
2017,6,12728,GRAIL POINT PENITENT PALE ALE 1/6KEG,KEGS,0.0,0.0,1.5454545454545454
2018,1,81445,GRAND ENCLOS CH DE CERONS GRAVES WH - 750ML,WINE,0.6628571428571429,-0.005714285714285714,0.0
2018,1,11263,BULGARIANA CHARD - 750ML,BEER,0.2785117056856187,0.22687290969899662,3.950535117056856
2020,1,119241,BOVALE - 750ML,LIQUOR,0.646369993642721,0.585645263827082,6.1220216147488875
2020,1,235344,GROTH CAB - 750ML,WINE,0.7436842105263158,0.5789473684210527,0.07017543859649122
2020,1,9938,THERMAL REGISTER PAPER,STR_SUPPLIES,0.0,27.833333333333332,0.0
2020,1,233610,FALORNI CHN DOGG - 750ML,WINE,0.03666666666666667,0.016666666666666666,2.6166666666666667
2020,1,10120,ELIJAH CRAIG HOLIDAY VAP 750ML,LIQUOR,20.286222887060582,20.378212415856396,2.88226626776365
2017,9,84917,THANKSGIVING FARM MERIGTAGE  - 750ML,WINE,0.2885714285714286,-0.11857142857142856,0.0
2020,1,13080,DOS EQUIS LAGER 1/2K,BEER,43.9967946708464,42.99405956112852,650.3107053291536
2020,1,24733,BALLAST POINT ALOHA SCULPIN 4/6 CANS,BEER,5.0039917695473255,5.02880658436214,16.848600823045267
2020,1,171956,HONIG NAPA VALLEY S/BLC - 750ML,WINE,5.794772727272727,5.939545454545454,10.340909090909092
2020,1,351032,LUXARDO MARASCHINO CHERRIES,LIQUOR,3.376595744680851,3.921985815602837,0.16312056737588654
2020,1,62103,TERRA D'ALTER ALICANTE BOUSCHET 2015 750ML,WINE,0.0,0.0,1.9622641509433962
2020,1,10264,90+CELLARS LOT 179 CAL P/NOIR - 750ML,WINE,0.030803858520900323,0.022508038585209004,3.2540192926045015
2020,1,348984,LUZZOLINI CIRO ROSSO CLASSICO 750ML,WINE,0.0,0.0,4.262295081967213
2020,1,296942,COLLEVENTO 921 MERLOT 750ML,WINE,0.005352743561030235,0.008029115341545353,4.0331019036954086
2020,1,40482,CRYSTAL HEAD VODKA-3/CS - 1.75L,LIQUOR,9.1590625,9.66921875,0.3828125
2020,1,11457,BALTIKA #8 NR 20/CS - 16.9OZ,BEER,0.17071872227151733,0.1396835255841467,2.056509908311151
2020,1,101117,KSARA BDB - 750ML,BEER,0.09142148760330579,0.10813223140495869,1.994909090909091
2018,1,332962,FRENESI WILDBERRIES SPARK - 750ML,WINE,0.6541666666666667,0.0,0.0
2020,1,10979,J LOHR SOUTH RIDGE SYR - 750ML,WINE,13.563415178571429,13.583526785714286,8.395825892857143
2020,1,17515,LES TOURS CHARD - 750ML,WINE,7.259359504132232,6.778863636363636,2.2021074380165286
2020,1,10413,K JACKSON VINT RES RIES - 750ML,WINE,21.08467741935484,21.128035190615837,23.286554252199412
2020,1,10103,MCCLELLANDS LOWLAND SCOTCH - 750ML,LIQUOR,16.046060403804436,15.890100116802936,1.3253479058902053
2019,1,313326,NESPOLI ADESSO CAGNINI - 750ML,WINE,4.997142857142857,3.7691428571428567,5.057142857142857
2020,1,42026,JORDAN CHARD - 750ML,WINE,2.076714285714286,2.063142857142857,2.342857142857143
2020,1,131415,ROYAL BITCH CHARD - 750ML,WINE,0.7586961325966851,0.7152044198895028,3.92739226519337
2020,1,8001,BAGS - PAPER PINTS,STR_SUPPLIES,0.0,65.58558558558559,0.0
2020,1,166431,BABE ROSE 1/12PK 375ML CANS,BEER,1.924963924963925,2.038961038961039,12.770981240981243
2020,1,83950,KING EST P/GRIS - 750ML,WINE,12.296818181818182,12.343636363636364,8.015151515151516
2020,1,322768,R STRONG CHARLOTTE S/BLC - 750ML,WINE,13.152323651452281,13.055103734439834,3.5473858921161825
2020,1,154644,ST FRANCIS SONOMA CHARD - 750ML,LIQUOR,6.437208258527828,6.219775583482944,3.2384111310592463
2020,1,100641,NUNA ORG MALBEC - 750ML,BEER,1.6905859476276899,1.6404407570650765,4.0335960591133
2019,1,154202,DOS PASOS S/BLC - 750ML,WINE,0.0245,0.0,2.096
2020,1,22342,MAGIC HAT #9 1/2 KEG,BEER,10.25828025477707,10.264331210191083,42.23902335456476
2020,1,45284,LAZZARONI AMARETTO - 750ML,LIQUOR,2.540787401574803,2.573464566929134,0.6692913385826772
2020,1,100145,SCHLINK HAUS KABINETT - 750ML,BEER,0.16510679611650486,0.1493592233009709,2.7564826629681
2020,1,145837,GEKKEIKAN NIGORI SAKE - 720ML,LIQUOR,10.817043740573151,10.887782805429865,9.52553544494721
2018,1,312187,IRONSIDE RESERVE PINOT NOIR - 750ML,WINE,0.1409375,0.10625,2.8625
2020,1,312368,LANGE TWINS SANG ROSE - 750ML,WINE,0.10389344262295083,0.06418032786885246,8.269508196721311
2020,1,342239,EL DECRETO TEQUILA ANEJO - 750ML,LIQUOR,1.1214285714285714,0.364952380952381,0.0380952380952381
2020,1,10387,DANSK VIKING BLOOD MEAD - 750ML,BEER,0.6809586328296905,0.6827182044887781,7.196488924746956
2017,7,84995,LINNE CALODO SELF ESTEEM SLACKER '16 -750ML,WINE,0.0,0.0,3.3333333333333335
2020,1,77143,MARKHAM S/BLC - 750ML,WINE,3.167272727272727,3.2545454545454544,2.418181818181818
2020,3,42997,LOOK APPLE VODKA - 750ML,WINE,0.45,0.75,0.0
2020,1,104639,CHATEAU LA TUILERIE DU PUY BORDEAUX 750ML,WINE,4.048409266409266,4.049490347490347,5.291853281853282
2020,1,11029,LIONELLO STOCK ITALIAN SWEET VERMOUTH - 1.5L,LIQUOR,5.151836065573771,4.82172131147541,0.7730901639344262
2020,1,70633,LYON DISTILLING COMPANY DK RUM - 750ML,LIQUOR,1.8032,0.76,0.08
2020,1,40460,LA DIABLADA PICSO - 750ML,LIQUOR,10.084999999999999,9.478958333333333,9.395833333333334
2020,1,234186,ART OF EARTH ROSE ORGANIC 750ML,WINE,0.17966666666666667,0.21116666666666667,12.75
2020,1,239704,ESTRELLA GALICIA 4/6 NR - 12OZ,BEER,2.157101449275362,2.5,1.3327536231884058
2019,1,42729,PAPAGAYO SPICED RUM - 750ML,LIQUOR,0.10666666666666667,-0.16666666666666666,0.0
2020,1,12103,MIKES VARIETY 12 PK NR - 11.2OZ,BEER,25.62362530413625,27.559610705596107,160.07031630170314
2019,8,64039,CROOK & MARKER COCONUT PINEAPPLE 6/4 CANS,BEER,0.0,0.0,2.8
2020,1,340101,BACKSBERG KOS MER - 750ML,WINE,0.0,0.0,1.0476190476190477
2020,1,23004,HARPOON IPA 1/2K,BEER,5.455397489539749,5.514644351464435,23.950836820083683
2020,1,31828,JAGERMEISTER COLD BREW COFFEE - 750ML,LIQUOR,14.346012658227849,14.063670886075949,2.3354430379746836
2020,1,240641,GREGARIOUS GIN - 750ML,LIQUOR,1.9765384615384616,3.2851923076923075,0.0
2018,1,419435,MER SOLEIL L/H DESSERT - 375ML,WINE,0.19333333333333333,0.0,0.0
2017,7,333518,MERRYVALE CARNEROS P/NOIR - 750ML,WINE,0.528,0.0,0.0
2020,1,166288,FAR EASTERN SHORE WINERY DRAGONFLY BLUSH - 750ML,WINE,0.04750000000000001,0.0,0.6666666666666666
2020,1,309069,DAMIANA LIQUEUR - 750ML,LIQUOR,0.5536666666666666,0.7666666666666667,3.5
2020,1,11374,MATEUS DRY ROSE - 750ML,BEER,3.4961486486486484,3.738028255528256,4.391025798525798
2020,1,106968,VIETTI NEBB PERBACCO - 750ML,WINE,0.603929173693086,0.6020573355817875,2.587251264755481
2020,1,1546,FOSTER LAGER 1/2K,BEER,26.916751080914146,26.31988573193329,440.21887276096356
2020,1,166424,CLOUDY BAY P/NOIR - 750ML,LIQUOR,11.724192288921424,11.536129819424108,3.3957637872132747
2019,1,437654,HUSCH CH/BLC - 750ML,WINE,0.24428571428571427,0.0,0.0
2018,1,24865,BREWERS ALLEY KOLSCH 1/2K,BEER,0.6666666666666666,1.1333333333333333,2.7333333333333334
2020,1,101346,LES DAUPHINS CDR VILLAGES ORG - 750ML,LIQUOR,0.4608764478764479,0.438484555984556,2.3364333976833978
2020,1,17906,MONTEBELLO LONG ISLAND ICE TEA - 750ML,LIQUOR,17.759439999999998,17.77872,0.904
2020,1,63625,MT. DEFIANCE AMARETTO 375ML,BEER,1.5718055555555557,2.3170833333333336,0.1527777777777778
2020,1,19975,NARRAGANSETT LAGER 16.0Z 6PK CAN,BEER,0.3719512195121951,0.36585365853658536,36.71756097560976
2020,1,63638,NEGUS ADDIS TEFF AMBER ALE 4/6 NR,BEER,5.574090909090909,6.045454545454546,37.03409090909091
2020,1,20089,NB VOODOO RANGER JUICY HAZE IPA 4/6 CAN,BEER,18.673287401574804,18.331043307086613,66.63596456692913
2020,1,11320,WENTE VYDS RIVA RANCH CHARD - 750ML,WINE,13.655785440613027,13.098850574712644,4.513409961685824
2020,1,63980,COOPER'S HAWK ANN1VER5ARY 1.5L,WINE,0.0,0.0,11.63310763888889
2018,1,85064,MAN O WAR S/BLC - 750ML,WINE,0.16,0.0,0.0
2020,1,234332,BISTRA SLIVOVITZ PLUM BRANDY - 750ML,LIQUOR,3.6526724137931033,3.7160344827586207,2.1357758620689653
2020,1,233898,LOUKATOS MASTIC LIQ - 750ML,BEER,0.0471584699453552,0.06557377049180328,1.1366120218579234
2019,1,20389,INGLENOOK COPPOLA RUBICON 6/CS - 750ML,WINE,0.5033333333333334,0.0,0.4444444444444444
2019,1,323505,OJAI CHARD - 750ML,WINE,0.26782608695652177,-0.043478260869565216,0.0
2020,1,12885,PORT CITY GERMAN PILSNER 6/4 16OZ CANS,BEER,4.049567198177677,4.136674259681094,12.048405466970387
2020,1,51039,ANDONG SOJU - 375ML,LIQUOR,2.21875,2.1666666666666665,0.125
2020,1,306226,ROBERT HALL CAB - 750ML,WINE,3.1884444444444444,5.266666666666667,8.031555555555556
2020,1,73256,OC DISTILLING CO - ORANGE VODKA - 750ML,LIQUOR,0.36011764705882354,-0.0037647058823529413,0.0
