YEAR,MONTH,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
48444,152,22.86,19.0,0.0
6051,24,0.0,0.0,3.0
18165,60,0.0,0.0,38.0
6055,4,0.0,0.0,8.0
48444,152,2.94,3.0,179.0
48444,152,108.5,105.0,1.0
48444,152,38.0,39.0,232.0
38351,133,0.0,0.0,48.0
16137,64,11.5,9.0,55.0
18160,73,2.68,0.0,2.0
30289,86,185.01,193.92000000000002,0.0
2017,8,0.0,0.0,3.0
48444,152,470.49,465.75,1534.54
2017,7,0.0,0.0,1.0
24226,84,7.8500000000000005,8.0,6.0
4034,17,0.0,0.0,2.0
20174,67,45.5,46.0,275.0
20185,57,12.75,12.0,43.0
18161,59,0.0,0.0,15.0
14120,58,0.0,0.0,10.0
48444,152,0.72,0.0,101.0
8068,32,0.0,0.0,5.0
38346,118,22.51,12.92,47.0
40371,126,4.7,5.0,0.0
48444,152,71.92,61.92,69.0
4034,15,0.2,0.0,0.0
2017,10,0.0,0.0,1.0
18173,55,0.9,2.0,9.0
16138,59,0.0,0.0,30.0
44407,142,5.36,5.0,3.0
10085,40,0.0,0.0,21.0
18155,66,0.0,0.0,15.0
48444,152,108.72,108.08,109.0
8068,38,0.0,0.0,4.0
22201,73,0.0,0.0,14.0
2017,11,0.17,0.0,0.0
26243,63,0.0,0.0,34.0
4034,13,0.0,0.0,3.0
12115,43,0.0,0.0,27.0
4036,13,0.0,0.0,4.0
16137,64,15.74,12.0,59.0
2017,6,0.0,0.0,1.0
12102,51,0.0,0.0,32.0
6056,23,0.0,0.0,3.0
2019,4,0.0,0.0,74.0
2019,4,0.0,0.0,2.0
40368,133,25.240000000000002,23.0,1.0
38350,127,12.48,7.0,28.0
6051,22,0.0,0.0,3.0
16148,39,0.0,0.0,8.0
10085,40,0.0,0.0,27.0
8069,30,0.32,0.0,0.0
18167,54,0.0,0.0,11.0
8068,34,0.36,0.0,0.0
6053,18,0.0,0.0,8.0
4036,11,0.0,0.0,3.0
48444,152,440.66,455.84000000000003,266.0
16150,52,0.68,0.0,12.0
4035,8,0.17,0.0,18.0
38345,123,85.62,70.92,57.0
40371,140,4.12,5.0,48.0
26241,75,0.0,0.0,29.0
46427,140,0.0,0.0,130.0
18155,66,5.4399999999999995,0.0,0.0
4036,11,0.0,0.0,4.0
4038,5,0.0,0.0,4.0
